11.86741437136175	NR2C1
-10.910605688671327	RHOXF1
-10.84290109193767	SNAI1
7.728817821884793	NR2F2
-6.945020935099016	TBX5
-6.9434301886167855	HIC2
-6.561335796563186	TLX2
-6.463626178448176	UNCX
-6.260813481185182	SHOX
-6.182028145570905	ZEB1
5.883659317357376	FOXP3
-5.748916238486374	ISX
-5.650529496539445	PRRX1
-5.610227272727261	ZNF354C
-5.5790857819352455	RAX2
5.423777301754074	FOXL1
-5.318951225078517	MIXL1
-5.2934768187906105	DRGX
5.278331323074508	FOXO6
5.183594018002617	FOXI1
5.180670647848146	FOXO4
-5.056476886534668	VSX1
-4.992082747688967	NKX6-1
-4.991613145085833	TBX4
-4.987600667482924	FIGLA
4.885834065689344	NR4A1
-4.818134057237558	SNAI2
-4.7803051055334755	NKX6-2
-4.727950693487362	DLX6
-4.710852258094447	LMX1A
